sku_code,claim_title,claim_text,claim_order,source_channel,observed_at
TV00029115,核心定位,旗舰性能 越级画质，最值得买的高端 Mini LED 电视,1,JD,2026-05-25T00:00:00
TV00029115,旗舰亮度,5200nits 瞬时峰值亮度，3800nits 稳定峰值亮度,2,JD,2026-05-25T00:00:00
TV00029115,旗舰分区,3500 分区 U+Mini LED 光晕控制系统,3,JD,2026-05-25T00:00:00
TV00029115,游戏高刷,4K 170Hz 系统级原生高刷，4×HDMI 2.1 满血接口,4,JD,2026-05-25T00:00:00
TV00029115,护眼,AI 环境光感智能，20000Hz 超高频调光无频闪,5,JD,2026-05-25T00:00:00
TV00010001,画质,Mini LED 分区控光，XDR 高亮画质,1,JD,2026-05-25T00:00:00
TV00010001,游戏,144Hz 高刷，HDMI 2.1，游戏模式,2,JD,2026-05-25T00:00:00
TV00010002,大屏,85英寸大屏，巨幕观影，超高性价比,1,JD,2026-05-25T00:00:00
TV00010003,画质,XR 认知芯片，画质优化，运动补偿,1,JD,2026-05-25T00:00:00
TV00010004,画质,Mini LED 高亮度，量子点色彩，抗反光屏,1,JD,2026-05-25T00:00:00
